Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,Unnamed: 35_level_0,Year
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,OT,Unnamed: 6_level_1,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP,
1,Sun,September 8,boxscore,W,,,Atlanta Falcons,28,12,8,10,97,1,0,1,1,9.8,8.8,80.0,140.4,38,172,4.5,3,0,0,4,4,5,247,5,10,0,0,29:47,2019
2,Sun,September 15,boxscore,L,,@,Green Bay Packers,16,21,14,32,223,1,2,1,7,7.2,6.8,43.8,52.0,27,198,7.3,1,1,2,1,2,6,264,4,13,0,0,25:54,2019
3,Sun,September 22,boxscore,W,,,Oakland Raiders,34,14,15,21,174,1,0,0,0,8.3,8.3,71.4,112.0,38,211,5.6,3,2,2,4,4,2,95,5,9,0,0,31:32,2019
4,Sun,September 29,boxscore,L,,@,Chicago Bears,6,16,27,36,182,0,0,6,51,6.5,4.3,75.0,85.6,16,40,2.5,1,0,0,0,0,5,235,5,13,1,2,24:33,2019
5,Sun,October 6,boxscore,W,,@,New York Giants,28,10,22,27,279,2,0,3,27,11.3,9.3,81.5,134.4,34,211,6.2,0,4,4,2,2,1,57,5,11,1,1,32:40,2019
6,Sun,October 13,boxscore,W,,,Philadelphia Eagles,38,20,22,29,325,4,1,1,8,11.5,10.8,75.9,137.2,35,122,3.5,1,1,1,5,5,3,123,2,10,1,1,32:04,2019
7,Sun,October 20,boxscore,W,,@,Detroit Lions,42,30,24,34,338,4,0,0,0,9.9,9.9,70.6,141.5,37,166,4.5,2,0,1,6,6,2,98,6,10,0,0,32:10,2019
8,Thu,October 24,boxscore,W,,,Washington Redskins,19,9,23,26,273,0,0,3,12,11.0,9.4,88.5,110.4,38,161,4.2,1,4,4,1,1,0,0,8,15,1,3,36:36,2019
9,Sun,November 3,boxscore,L,,@,Kansas City Chiefs,23,26,19,38,212,3,0,1,8,5.8,5.4,50.0,93.3,27,96,3.6,0,1,1,2,3,8,353,5,15,1,1,28:12,2019
10,Sun,November 10,boxscore,W,,@,Dallas Cowboys,28,24,23,32,211,2,0,1,9,6.9,6.4,71.9,110.3,36,153,4.3,1,2,2,2,2,4,170,8,14,1,1,33:27,2019
11,Sun,November 17,boxscore,W,,,Denver Broncos,27,23,29,35,284,3,0,5,35,9.1,7.1,82.9,129.0,18,37,2.1,1,0,0,3,3,5,236,5,12,2,2,23:17,2019
13,Mon,December 2,boxscore,L,,@,Seattle Seahawks,30,37,22,38,276,2,1,0,0,7.3,7.3,57.9,87.2,14,78,5.6,1,1,1,3,4,4,170,5,10,0,1,20:15,2019
14,Sun,December 8,boxscore,W,,,Detroit Lions,20,7,24,30,234,1,0,1,8,8.1,7.5,80.0,110.3,39,120,3.1,1,2,2,2,2,6,222,5,14,0,1,33:43,2019
15,Sun,December 15,boxscore,W,,@,Los Angeles Chargers,39,10,19,25,207,1,1,0,0,8.3,8.3,76.0,96.6,37,137,3.7,2,4,4,3,4,2,103,7,14,0,0,32:21,2019
16,Mon,December 23,boxscore,L,,,Green Bay Packers,10,23,16,32,82,1,1,5,40,3.8,2.2,50.0,53.6,16,57,3.6,0,1,1,1,1,8,377,4,15,0,2,22:28,2019
17,Sun,December 29,boxscore,L,,,Chicago Bears,19,21,12,21,126,0,2,0,0,6.0,6.0,57.1,35.1,26,174,6.7,1,4,4,1,1,1,52,4,9,0,0,22:20,2019
18,Sun,January 5,boxscore,W,OT,@,New Orleans Saints,26,20,19,31,226,1,0,3,16,7.8,6.6,61.3,94.3,40,136,3.4,2,2,2,2,2,6,298,10,18,0,0,36:56,2019
19,Sat,January 11,boxscore,L,,@,San Francisco 49ers,10,27,21,29,126,1,1,6,46,5.9,3.6,72.4,77.7,10,21,2.1,0,1,1,1,1,6,290,2,12,0,2,21:33,2019
1,Sun,September 11,boxscore,W,,,Green Bay Packers,23,7,23,32,269,2,0,1,8,8.7,8.2,71.9,117.8,28,126,4.5,0,3,3,2,2,5,232,4,13,1,1,31:23,2022
2,Mon,September 19,boxscore,L,,@,Philadelphia Eagles,7,24,27,46,202,1,3,2,19,4.8,4.2,58.7,49.4,11,62,5.6,0,0,0,1,1,5,246,4,12,0,0,23:46,2022
3,Sun,September 25,boxscore,W,,,Detroit Lions,28,24,24,41,250,2,0,1,10,6.3,6.0,58.5,92.5,25,123,4.9,2,0,2,4,4,3,156,2,9,1,2,25:56,2022
4,Sun,October 2,boxscore,W,,@,New Orleans Saints,28,25,26,39,263,1,1,3,23,7.3,6.3,66.7,83.6,25,81,3.2,1,5,5,1,2,3,126,5,14,1,1,32:13,2022
