Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,Unnamed: 35_level_0,Year
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,OT,Unnamed: 6_level_1,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP,
1,Sun,September 8,boxscore,W,,,Atlanta Falcons,28,12,33,46,272,2,2,4,32,6.6,5.4,71.7,82.9,17,73,4.3,0,0,0,0,0,4,130,2,8,2,2,30:13,2019
2,Sun,September 15,boxscore,L,,@,Green Bay Packers,16,21,22,34,191,2,0,2,18,6.1,5.3,64.7,99.0,33,144,4.4,1,0,0,3,3,8,381,5,15,0,1,34:06,2019
3,Sun,September 22,boxscore,W,,,Oakland Raiders,34,14,27,34,214,2,1,4,28,7.1,5.6,79.4,100.2,20,88,4.4,0,0,1,2,2,4,217,3,11,2,3,28:28,2019
4,Sun,September 29,boxscore,L,,@,Chicago Bears,6,16,24,33,197,1,0,1,7,6.2,5.8,72.7,97.7,33,72,2.2,0,3,3,1,1,5,241,5,16,2,3,35:27,2019
5,Sun,October 6,boxscore,W,,@,New York Giants,28,10,21,38,147,1,1,4,35,4.8,3.5,55.3,62.1,20,64,3.2,0,1,1,1,1,3,134,8,16,0,3,27:20,2019
6,Sun,October 13,boxscore,W,,,Philadelphia Eagles,38,20,26,41,292,2,2,2,14,7.5,6.8,63.4,80.5,22,108,4.9,0,2,2,2,2,3,131,4,12,1,3,27:56,2019
7,Sun,October 20,boxscore,W,,@,Detroit Lions,42,30,30,45,352,4,1,2,12,8.1,7.5,66.7,110.6,20,81,4.1,0,1,1,3,3,3,150,6,11,0,1,27:50,2019
8,Thu,October 24,boxscore,W,,,Washington Redskins,19,9,15,21,131,0,1,4,32,7.8,5.2,71.4,67.8,16,85,5.3,0,3,3,0,0,2,107,2,7,0,0,23:24,2019
9,Sun,November 3,boxscore,L,,@,Kansas City Chiefs,23,26,25,35,230,1,0,5,45,7.9,5.8,71.4,98.5,18,147,8.2,1,4,4,2,2,5,251,4,13,1,1,31:48,2019
10,Sun,November 10,boxscore,W,,@,Dallas Cowboys,28,24,28,47,393,3,1,1,4,8.4,8.2,59.6,99.0,22,50,2.3,0,1,2,3,3,2,72,9,15,0,2,26:33,2019
11,Sun,November 17,boxscore,W,,,Denver Broncos,27,23,18,40,270,1,1,2,8,7.0,6.4,45.0,65.6,33,124,3.8,1,3,4,2,2,3,105,5,18,4,4,36:43,2019
13,Mon,December 2,boxscore,L,,@,Seattle Seahawks,30,37,21,31,226,2,1,2,14,7.7,6.8,67.7,97.0,43,218,5.1,2,3,3,4,4,3,126,7,15,1,1,39:45,2019
14,Sun,December 8,boxscore,W,,,Detroit Lions,20,7,24,40,161,1,2,5,44,5.1,3.6,60.0,56.4,22,70,3.2,0,0,1,1,1,7,347,7,16,1,1,26:17,2019
15,Sun,December 15,boxscore,W,,@,Los Angeles Chargers,39,10,28,39,283,1,3,3,24,7.9,6.7,71.8,68.6,19,62,3.3,0,1,1,1,1,1,26,6,11,1,2,27:39,2019
16,Mon,December 23,boxscore,L,,,Green Bay Packers,10,23,26,40,199,0,1,3,17,5.4,4.6,65.0,66.6,32,184,5.8,2,3,3,0,1,5,234,5,14,0,0,37:32,2019
17,Sun,December 29,boxscore,L,,,Chicago Bears,19,21,26,37,179,0,0,4,28,5.6,4.4,70.3,80.8,34,158,4.6,1,4,4,1,1,2,111,7,16,1,2,37:40,2019
18,Sun,January 5,boxscore,W,OT,@,New Orleans Saints,26,20,27,34,227,1,1,3,31,7.6,6.1,79.4,92.0,17,97,5.7,1,2,3,2,2,5,229,4,11,0,0,27:24,2019
19,Sat,January 11,boxscore,L,,@,San Francisco 49ers,10,27,11,19,122,1,1,2,9,6.9,5.8,57.9,72.7,47,186,4.0,2,2,2,3,3,4,186,5,12,0,1,38:27,2019
1,Sun,September 11,boxscore,W,,,Green Bay Packers,23,7,26,39,227,0,1,4,33,6.7,5.3,66.7,71.2,18,111,6.2,1,0,0,1,1,4,179,3,9,0,2,28:37,2022
2,Mon,September 19,boxscore,L,,@,Philadelphia Eagles,7,24,26,31,323,1,1,3,10,10.7,9.5,83.9,107.4,34,163,4.8,2,1,2,3,3,4,179,7,13,0,0,36:14,2022
3,Sun,September 25,boxscore,W,,,Detroit Lions,28,24,25,41,277,1,1,0,0,6.8,6.8,61.0,79.0,35,139,4.0,2,1,3,3,3,3,134,3,16,4,6,34:04,2022
4,Sun,October 2,boxscore,W,,@,New Orleans Saints,28,25,20,28,227,1,0,2,9,8.4,7.6,71.4,107.3,27,111,4.1,2,1,2,2,2,4,194,4,10,1,1,27:47,2022
5,Sun,October 9,boxscore,W,,,Chicago Bears,29,22,15,21,193,1,0,2,15,9.9,8.4,71.4,115.8,24,78,3.3,1,3,3,1,1,2,112,4,10,1,1,23:16,2022
6,Sun,October 16,boxscore,W,,@,Miami Dolphins,24,16,30,47,385,2,2,6,33,8.9,7.3,63.8,85.9,20,73,3.7,0,1,2,1,1,6,307,4,14,1,2,35:29,2022
8,Sun,October 30,boxscore,W,,,Arizona Cardinals,34,26,31,44,297,3,2,4,29,7.4,6.2,70.5,92.7,22,78,3.5,0,2,2,2,2,3,139,4,11,0,1,30:33,2022
9,Sun,November 6,boxscore,W,,@,Washington Commanders,20,17,15,28,126,2,1,3,23,5.3,4.1,53.6,74.4,30,137,4.6,0,1,1,2,2,5,240,3,10,0,1,30:47,2022
10,Sun,November 13,boxscore,W,OT,@,Buffalo Bills,33,30,29,43,311,1,2,2,19,7.7,6.9,67.4,76.8,27,175,6.5,2,3,3,3,3,3,152,7,13,0,1,33:46,2022
11,Sun,November 20,boxscore,L,,,Dallas Cowboys,3,40,26,30,307,2,0,0,0,10.2,10.2,86.7,131.5,40,151,3.8,2,4,4,4,4,2,101,12,17,0,0,37:24,2022
12,Thu,November 24,boxscore,W,,,New England Patriots,33,26,28,39,364,2,0,3,18,9.8,8.7,71.8,117.9,13,45,3.5,0,4,4,2,2,3,123,3,10,0,1,23:43,2022
13,Sun,December 4,boxscore,W,,,New York Jets,27,22,31,58,366,0,2,1,3,6.4,6.2,53.4,58.5,24,120,5.0,1,5,5,1,1,2,81,3,16,2,5,31:38,2022
14,Sun,December 11,boxscore,L,,@,Detroit Lions,23,34,27,39,330,3,0,0,0,8.5,8.5,69.2,120.7,30,134,4.5,1,2,3,4,4,2,96,7,15,1,2,31:54,2022
15,Sat,December 17,boxscore,W,OT,,Indianapolis Colts,39,36,19,33,170,1,0,3,12,5.5,4.7,57.6,81.6,43,171,4.0,0,5,5,3,3,7,305,6,19,0,1,36:37,2022
16,Sat,December 24,boxscore,W,,,New York Giants,27,24,30,42,319,1,1,3,15,8.0,7.1,71.4,91.3,21,126,6.0,1,3,3,1,1,4,129,3,11,1,1,29:13,2022
17,Sun,January 1,boxscore,L,,@,Green Bay Packers,17,41,17,27,152,1,0,1,16,6.2,5.4,63.0,90.4,33,163,4.9,2,2,2,5,5,3,81,7,12,0,1,34:04,2022
18,Sun,January 8,boxscore,W,,@,Chicago Bears,29,13,13,27,141,1,2,1,6,5.4,5.0,48.1,45.4,22,118,5.4,1,0,0,1,1,3,111,2,9,0,3,23:24,2022
19,Sun,January 15,boxscore,L,,,New York Giants,24,31,24,35,289,2,0,3,12,8.6,7.6,68.6,112.7,30,142,4.7,2,1,1,4,4,2,90,7,13,2,2,33:36,2022
1,Sun,September 13,boxscore,L,,,Green Bay Packers,34,43,32,44,364,4,0,0,0,8.3,8.3,72.7,127.5,32,158,4.9,1,2,2,5,5,1,40,6,11,1,2,41:16,2020
2,Sun,September 20,boxscore,L,,@,Indianapolis Colts,11,28,19,25,203,1,1,2,11,8.6,7.5,76.0,95.9,40,151,3.8,1,4,4,2,2,2,87,3,11,1,1,38:25,2020
3,Sun,September 27,boxscore,L,,,Tennessee Titans,30,31,23,37,310,0,1,2,11,8.7,7.9,62.2,77.5,34,134,3.9,2,6,6,1,1,3,143,3,13,1,1,31:32,2020
4,Sun,October 4,boxscore,W,,@,Houston Texans,31,23,20,33,290,2,0,3,10,9.1,8.1,60.6,109.4,26,96,3.7,0,3,3,2,2,4,201,3,12,1,2,23:29,2020
5,Sun,October 11,boxscore,L,,@,Seattle Seahawks,26,27,20,32,190,3,1,4,27,6.8,5.3,62.5,97.1,16,124,7.8,1,0,0,3,3,5,226,0,7,2,2,20:32,2020
6,Sun,October 18,boxscore,L,,,Atlanta Falcons,23,40,30,40,363,4,0,2,8,9.3,8.6,75.0,135.7,37,99,2.7,0,4,4,4,4,2,68,9,17,3,3,40:07,2020
8,Sun,November 1,boxscore,W,,@,Green Bay Packers,28,22,27,41,291,3,0,1,0,7.1,6.9,65.9,110.9,24,109,4.5,0,0,0,2,2,1,38,5,11,3,5,32:12,2020
9,Sun,November 8,boxscore,W,,,Detroit Lions,34,20,31,45,292,2,3,2,13,6.8,6.2,68.9,73.6,27,129,4.8,0,2,3,2,2,2,93,6,12,0,0,32:49,2020
10,Mon,November 16,boxscore,W,,@,Chicago Bears,19,13,16,31,108,0,1,2,16,4.0,3.3,51.6,46.2,17,41,2.4,0,2,2,1,1,5,221,2,11,0,2,24:10,2020
11,Sun,November 22,boxscore,L,,,Dallas Cowboys,28,31,22,32,196,3,1,1,7,6.3,5.9,68.8,103.1,31,180,5.8,1,1,1,2,3,3,142,5,11,2,3,28:11,2020
12,Sun,November 29,boxscore,W,,,Carolina Panthers,28,27,19,36,267,1,1,0,0,7.4,7.4,52.8,74.7,28,107,3.8,0,2,4,3,3,3,116,6,14,1,1,28:47,2020
13,Sun,December 6,boxscore,W,OT,,Jacksonville Jaguars,27,24,28,42,266,1,2,2,14,6.7,6.0,66.7,72.1,25,124,5.0,1,1,2,1,2,5,258,4,13,0,0,30:38,2020
14,Sun,December 13,boxscore,L,,@,Tampa Bay Buccaneers,14,26,15,23,196,2,0,0,0,8.5,8.5,65.2,120.9,26,107,4.1,1,2,2,2,3,3,151,5,11,0,0,20:57,2020
15,Sun,December 20,boxscore,L,,,Chicago Bears,27,33,15,21,198,1,1,1,4,9.6,9.0,71.4,96.9,42,199,4.7,2,4,4,3,3,1,44,6,12,0,0,32:59,2020
16,Fri,December 25,boxscore,L,,@,New Orleans Saints,33,52,21,28,319,0,2,0,0,11.4,11.4,75.0,82.3,45,264,5.9,7,1,1,7,7,0,0,5,9,1,1,36:47,2020
17,Sun,January 3,boxscore,W,,@,Detroit Lions,37,35,20,31,288,3,1,1,5,9.5,9.0,64.5,113.4,22,129,5.9,2,1,1,2,3,2,101,5,10,1,1,24:47,2020
1,Sun,September 12,boxscore,L,OT,@,Cincinnati Bengals,24,27,20,27,217,2,0,5,44,9.7,6.8,74.1,122.0,36,149,4.1,1,2,2,3,3,7,332,3,14,2,3,34:51,2021
2,Sun,September 19,boxscore,L,,@,Arizona Cardinals,33,34,29,36,371,3,2,3,29,11.1,9.5,80.6,114.2,21,103,4.9,1,2,2,4,4,4,221,3,9,1,1,31:52,2021
3,Sun,September 26,boxscore,W,,,Seattle Seahawks,30,17,23,32,283,1,0,2,15,9.3,8.3,71.9,109.2,18,106,5.9,1,1,2,2,2,2,88,3,8,0,1,24:07,2021
4,Sun,October 3,boxscore,L,,,Cleveland Browns,7,14,15,33,143,0,0,3,12,4.7,4.0,45.5,58.0,38,184,4.8,1,2,2,0,0,7,279,7,18,0,1,35:32,2021
5,Sun,October 10,boxscore,W,,,Detroit Lions,19,17,21,35,180,0,1,4,23,5.8,4.6,60.0,61.6,24,108,4.5,1,3,3,0,0,4,204,3,11,0,1,27:54,2021
6,Sun,October 17,boxscore,W,OT,@,Carolina Panthers,34,28,17,41,188,1,1,4,19,5.0,4.2,41.5,53.7,23,118,5.1,1,2,2,2,2,6,244,2,12,2,2,26:34,2021
8,Sun,October 31,boxscore,L,,,Dallas Cowboys,16,20,25,41,341,2,1,3,19,8.8,7.8,61.0,93.6,24,78,3.3,0,2,3,2,2,4,181,7,14,0,0,32:32,2021
9,Sun,November 7,boxscore,L,OT,@,Baltimore Ravens,31,34,27,41,253,3,2,3,13,6.5,5.8,65.9,86.7,45,247,5.5,1,2,2,4,4,3,125,6,15,3,3,46:04,2021
10,Sun,November 14,boxscore,W,,@,Los Angeles Chargers,27,20,20,34,171,1,1,2,24,5.7,4.8,58.8,69.6,19,82,4.3,1,2,2,2,2,5,242,5,12,0,0,23:50,2021
11,Sun,November 21,boxscore,W,,,Green Bay Packers,34,31,23,33,372,4,0,2,13,11.7,10.6,69.7,146.7,19,95,5.0,0,1,2,4,4,2,102,7,11,0,0,28:59,2021
12,Sun,November 28,boxscore,L,,@,San Francisco 49ers,26,34,17,26,215,1,1,2,15,8.8,7.7,65.4,87.8,39,208,5.3,3,2,3,4,4,3,183,5,12,0,0,37:07,2021
13,Sun,December 5,boxscore,L,,@,Detroit Lions,27,29,25,41,272,3,1,3,24,7.2,6.2,61.0,94.8,27,100,3.7,0,3,3,2,2,3,166,2,11,1,3,26:56,2021
14,Thu,December 9,boxscore,W,,,Pittsburgh Steelers,36,28,28,40,269,3,1,5,39,7.7,6.0,70.0,103.0,24,106,4.4,1,0,1,2,2,6,258,4,13,2,2,29:32,2021
15,Mon,December 20,boxscore,W,,@,Chicago Bears,17,9,26,39,255,1,0,3,30,7.3,6.1,66.7,93.4,28,115,4.1,0,1,2,0,0,3,161,2,12,2,5,29:15,2021
