week,day,date,win_loss,OT,opp,pts_scored,pts_allowed,passes_completed,passing_att,passing_yds,passing_tds,int_thrown,times_sacked,yds_lost_from_sack,yds/pass_attempt,netyds/pass_attempt,pass_completion_percent,passer_rating,rushing_attempts,rushing_yds_gained,rushing_yds/attempt,rushing_tds,fgm,fga,xpm,xpa,times_punted,total_punt_yds,3dconv,3dattempt,4dconv,4datt,off_top,year,home_or_away
1,Sun,September 8,W,,Atlanta Falcons,28,12,33,46,272,2,2,4,32,6.6,5.4,71.7,82.9,17,73,4.3,0,0,0,0,0,4,130,2,8,2,2,30.216666666666665,2019,home
2,Sun,September 15,L,,Green Bay Packers,16,21,22,34,191,2,0,2,18,6.1,5.3,64.7,99.0,33,144,4.4,1,0,0,3,3,8,381,5,15,0,1,34.1,2019,away
3,Sun,September 22,W,,Oakland Raiders,34,14,27,34,214,2,1,4,28,7.1,5.6,79.4,100.2,20,88,4.4,0,0,1,2,2,4,217,3,11,2,3,28.466666666666665,2019,home
4,Sun,September 29,L,,Chicago Bears,6,16,24,33,197,1,0,1,7,6.2,5.8,72.7,97.7,33,72,2.2,0,3,3,1,1,5,241,5,16,2,3,35.45,2019,away
5,Sun,October 6,W,,New York Giants,28,10,21,38,147,1,1,4,35,4.8,3.5,55.3,62.1,20,64,3.2,0,1,1,1,1,3,134,8,16,0,3,27.333333333333332,2019,away
6,Sun,October 13,W,,Philadelphia Eagles,38,20,26,41,292,2,2,2,14,7.5,6.8,63.4,80.5,22,108,4.9,0,2,2,2,2,3,131,4,12,1,3,27.933333333333334,2019,home
7,Sun,October 20,W,,Detroit Lions,42,30,30,45,352,4,1,2,12,8.1,7.5,66.7,110.6,20,81,4.1,0,1,1,3,3,3,150,6,11,0,1,27.833333333333332,2019,away
8,Thu,October 24,W,,Washington Redskins,19,9,15,21,131,0,1,4,32,7.8,5.2,71.4,67.8,16,85,5.3,0,3,3,0,0,2,107,2,7,0,0,23.4,2019,home
9,Sun,November 3,L,,Kansas City Chiefs,23,26,25,35,230,1,0,5,45,7.9,5.8,71.4,98.5,18,147,8.2,1,4,4,2,2,5,251,4,13,1,1,31.8,2019,away
10,Sun,November 10,W,,Dallas Cowboys,28,24,28,47,393,3,1,1,4,8.4,8.2,59.6,99.0,22,50,2.3,0,1,2,3,3,2,72,9,15,0,2,26.55,2019,away
11,Sun,November 17,W,,Denver Broncos,27,23,18,40,270,1,1,2,8,7.0,6.4,45.0,65.6,33,124,3.8,1,3,4,2,2,3,105,5,18,4,4,36.71666666666667,2019,home
13,Mon,December 2,L,,Seattle Seahawks,30,37,21,31,226,2,1,2,14,7.7,6.8,67.7,97.0,43,218,5.1,2,3,3,4,4,3,126,7,15,1,1,39.75,2019,away
14,Sun,December 8,W,,Detroit Lions,20,7,24,40,161,1,2,5,44,5.1,3.6,60.0,56.4,22,70,3.2,0,0,1,1,1,7,347,7,16,1,1,26.283333333333335,2019,home
15,Sun,December 15,W,,Los Angeles Chargers,39,10,28,39,283,1,3,3,24,7.9,6.7,71.8,68.6,19,62,3.3,0,1,1,1,1,1,26,6,11,1,2,27.65,2019,away
16,Mon,December 23,L,,Green Bay Packers,10,23,26,40,199,0,1,3,17,5.4,4.6,65.0,66.6,32,184,5.8,2,3,3,0,1,5,234,5,14,0,0,37.53333333333333,2019,home
